Sensor ID,Motherboard ID,Motherboard Name,metric,value,timestamp,unit
9,35,Joyce,Sound Level,56.03,2021-03-11T01:59:28.000Z,dBa
29,38,Jim,Sound Level,53.44,2021-03-11T02:01:05.000Z,dBa
9,35,Joyce,Sound Level,54.51,2021-03-11T02:04:39.000Z,dBa
29,38,Jim,Sound Level,57.79,2021-03-11T02:06:05.000Z,dBa
29,38,Jim,Sound Level,55.64,2021-03-11T02:11:05.000Z,dBa
9,35,Joyce,Sound Level,54.67,2021-03-11T02:15:02.000Z,dBa
29,38,Jim,Sound Level,65.08,2021-03-11T02:16:05.000Z,dBa
9,35,Joyce,Sound Level,54.05,2021-03-11T02:20:13.000Z,dBa
29,38,Jim,Sound Level,60.15,2021-03-11T02:21:05.000Z,dBa
9,35,Joyce,Sound Level,56.94,2021-03-11T02:25:24.000Z,dBa
29,38,Jim,Sound Level,66.32,2021-03-11T02:27:26.000Z,dBa
9,35,Joyce,Sound Level,55.31,2021-03-11T02:30:35.000Z,dBa
29,38,Jim,Sound Level,57.99,2021-03-11T02:32:26.000Z,dBa
9,35,Joyce,Sound Level,54.57,2021-03-11T02:35:46.000Z,dBa
29,38,Jim,Sound Level,55.71,2021-03-11T02:37:26.000Z,dBa
9,35,Joyce,Sound Level,63.33,2021-03-11T02:40:58.000Z,dBa
29,38,Jim,Sound Level,57.7,2021-03-11T02:42:26.000Z,dBa
9,35,Joyce,Sound Level,56.15,2021-03-11T02:46:09.000Z,dBa
29,38,Jim,Sound Level,58.66,2021-03-11T02:47:26.000Z,dBa
9,35,Joyce,Sound Level,58.81,2021-03-11T02:51:20.000Z,dBa
29,38,Jim,Sound Level,58.27,2021-03-11T02:52:26.000Z,dBa
9,35,Joyce,Sound Level,53.39,2021-03-11T02:56:31.000Z,dBa
29,38,Jim,Sound Level,55.65,2021-03-11T02:58:46.000Z,dBa
9,35,Joyce,Sound Level,57.72,2021-03-11T03:01:42.000Z,dBa
29,38,Jim,Sound Level,55.76,2021-03-11T03:03:46.000Z,dBa
9,35,Joyce,Sound Level,61.43,2021-03-11T03:06:53.000Z,dBa
29,38,Jim,Sound Level,56.56,2021-03-11T03:08:46.000Z,dBa
9,35,Joyce,Sound Level,53.89,2021-03-11T03:12:05.000Z,dBa
29,38,Jim,Sound Level,54.56,2021-03-11T03:13:46.000Z,dBa
9,35,Joyce,Sound Level,56.96,2021-03-11T03:17:16.000Z,dBa
29,38,Jim,Sound Level,56.83,2021-03-11T03:18:46.000Z,dBa
9,35,Joyce,Sound Level,56.94,2021-03-11T03:22:27.000Z,dBa
29,38,Jim,Sound Level,55.51,2021-03-11T03:23:46.000Z,dBa
9,35,Joyce,Sound Level,55.85,2021-03-11T03:27:38.000Z,dBa
29,38,Jim,Sound Level,57.55,2021-03-11T03:30:06.000Z,dBa
9,35,Joyce,Sound Level,55.17,2021-03-11T03:32:49.000Z,dBa
29,38,Jim,Sound Level,65.71,2021-03-11T03:35:06.000Z,dBa
9,35,Joyce,Sound Level,63.09,2021-03-11T03:38:00.000Z,dBa
29,38,Jim,Sound Level,57.9,2021-03-11T03:40:06.000Z,dBa
9,35,Joyce,Sound Level,61.33,2021-03-11T03:43:11.000Z,dBa
29,38,Jim,Sound Level,56.43,2021-03-11T03:45:06.000Z,dBa
29,38,Jim,Sound Level,56.55,2021-03-11T03:50:06.000Z,dBa
9,35,Joyce,Sound Level,57.03,2021-03-11T03:53:33.000Z,dBa
29,38,Jim,Sound Level,58.02,2021-03-11T03:55:06.000Z,dBa
9,35,Joyce,Sound Level,55.12,2021-03-11T03:58:44.000Z,dBa
29,38,Jim,Sound Level,58.12,2021-03-11T04:01:25.000Z,dBa
9,35,Joyce,Sound Level,54.46,2021-03-11T04:03:55.000Z,dBa
29,38,Jim,Sound Level,53.99,2021-03-11T04:06:25.000Z,dBa
9,35,Joyce,Sound Level,67.71,2021-03-11T04:09:06.000Z,dBa
29,38,Jim,Sound Level,56.83,2021-03-11T04:11:25.000Z,dBa
9,35,Joyce,Sound Level,56.63,2021-03-11T04:14:18.000Z,dBa
29,38,Jim,Sound Level,56.66,2021-03-11T04:16:25.000Z,dBa
9,35,Joyce,Sound Level,56.01,2021-03-11T04:19:28.000Z,dBa
29,38,Jim,Sound Level,56.51,2021-03-11T04:21:25.000Z,dBa
9,35,Joyce,Sound Level,57.35,2021-03-11T04:24:39.000Z,dBa
29,38,Jim,Sound Level,56.04,2021-03-11T04:26:25.000Z,dBa
9,35,Joyce,Sound Level,55.9,2021-03-11T04:29:50.000Z,dBa
29,38,Jim,Sound Level,64.21,2021-03-11T04:32:44.000Z,dBa
9,35,Joyce,Sound Level,57.47,2021-03-11T04:35:01.000Z,dBa
29,38,Jim,Sound Level,59.59,2021-03-11T04:37:44.000Z,dBa
9,35,Joyce,Sound Level,56.98,2021-03-11T04:40:12.000Z,dBa
29,38,Jim,Sound Level,59.81,2021-03-11T04:42:44.000Z,dBa
9,35,Joyce,Sound Level,55.85,2021-03-11T04:45:23.000Z,dBa
29,38,Jim,Sound Level,58.06,2021-03-11T04:47:44.000Z,dBa
9,35,Joyce,Sound Level,65.95,2021-03-11T04:50:34.000Z,dBa
29,38,Jim,Sound Level,56.69,2021-03-11T04:52:44.000Z,dBa
9,35,Joyce,Sound Level,57.85,2021-03-11T04:55:45.000Z,dBa
29,38,Jim,Sound Level,59.25,2021-03-11T04:57:44.000Z,dBa
9,35,Joyce,Sound Level,55.66,2021-03-11T05:00:57.000Z,dBa
29,38,Jim,Sound Level,56.97,2021-03-11T05:04:00.000Z,dBa
9,35,Joyce,Sound Level,57.62,2021-03-11T05:06:08.000Z,dBa
29,38,Jim,Sound Level,57.59,2021-03-11T05:09:00.000Z,dBa
9,35,Joyce,Sound Level,57.23,2021-03-11T05:11:17.000Z,dBa
29,38,Jim,Sound Level,59.16,2021-03-11T05:14:00.000Z,dBa
29,38,Jim,Sound Level,57.4,2021-03-11T05:19:00.000Z,dBa
9,35,Joyce,Sound Level,58.98,2021-03-11T05:21:39.000Z,dBa
29,38,Jim,Sound Level,56.06,2021-03-11T05:24:00.000Z,dBa
9,35,Joyce,Sound Level,57.21,2021-03-11T05:26:49.000Z,dBa
29,38,Jim,Sound Level,59.91,2021-03-11T05:29:00.000Z,dBa
9,35,Joyce,Sound Level,56.84,2021-03-11T05:32:00.000Z,dBa
